employee_id,candidate_id,request_id,hospital_id,hospital_name,employee_name,email,phone,role,department,employment_type,license_state,license_status,hire_date,assignment_start_date,assignment_end_date,hourly_pay_rate,employment_status
EMP000001,CAN000003,REQ001110,224018,ARBOUR HUMAN RESOURCE INSTITUTE,Daniel Thomas,thickman@example.org,001-739-268-5621,Emergency Room Nurse,Emergency Department,Permanent Placement,MA,Pending,2026-07-31,2025-09-22,2026-01-12,65.52,Assignment Completed
EMP000002,CAN000005,REQ001540,220077,BAYSTATE MEDICAL CENTER,Christian Dawson,jodistewart@example.org,404-875-4121,Physician,Medical Services,Local Contract,MA,Active,2026-07-31,2026-07-22,2027-01-20,146.23,Active
EMP000003,CAN000009,REQ000378,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,Richard Diaz,brittanygardner@example.net,001-480-873-7416x72434,Emergency Room Nurse,Emergency Department,Permanent Placement,MA,Active,2026-07-31,2026-05-05,2026-08-25,54.19,Active
EMP000004,CAN000018,REQ001900,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,Joshua Jackson,xcunningham@example.com,+1-281-991-4858,ICU Nurse,Intensive Care Unit,Per Diem,MA,Active,2026-07-31,2026-03-19,2026-06-18,75.9,Active
EMP000005,CAN000019,REQ000419,220071,MASSACHUSETTS GENERAL HOSPITAL,Jeffery Fitzgerald,kennethkidd@example.com,451-571-3395x962,Laboratory Technician,Laboratory,Travel Contract,MA,Active,2026-07-31,2026-06-21,2026-08-16,47.14,Active
EMP000006,CAN000021,REQ000583,220002,MOUNT AUBURN HOSPITAL,Sandra Juarez,kburns@example.net,766-271-1684x577,ICU Nurse,Intensive Care Unit,Local Contract,MA,Active,2026-07-31,2025-12-27,2026-03-28,78.9,Active
EMP000007,CAN000022,REQ001733,220101,NEWTON-WELLESLEY HOSPITAL,Judy Beck,melissa86@example.org,(237)345-4589x29750,Emergency Room Nurse,Emergency Department,Local Contract,MA,Active,2026-07-31,2025-10-09,2026-01-29,53.61,Active
EMP000008,CAN000026,REQ001006,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",Daniel Goodman,cjensen@example.org,412-519-6565,Emergency Room Nurse,Emergency Department,Permanent Placement,MA,Active,2026-07-31,2025-12-22,2026-03-23,65.01,Active
EMP000009,CAN000027,REQ000147,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,Danielle Burke,kimberly04@example.org,398.236.4037x61379,Emergency Room Nurse,Emergency Department,Per Diem,MA,Pending,2026-07-31,2025-11-18,2026-05-19,57.56,Active
EMP000010,CAN000036,REQ000150,224039,WHITTIER PAVILION,Paul Carpenter,danafoster@example.net,001-706-723-4456,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2026-05-23,2026-08-15,58.35,Active
EMP000011,CAN000037,REQ001613,221303,ATHOL MEMORIAL HOSPITAL,Benjamin Harris,moorefrank@example.com,261-585-3747x41124,Allied Health Professional,Allied Health,Permanent Placement,MA,Pending,2026-07-31,2026-06-27,2026-09-19,40.52,Active
EMP000012,CAN000041,REQ001421,220065,BAYSTATE NOBLE HOSPITAL,Lisa Holland,jjenkins@example.com,2148626383,Respiratory Therapist,Respiratory Care,Permanent Placement,MA,Active,2026-07-31,2026-08-14,2026-09-11,61.91,On Leave
EMP000013,CAN000043,REQ001739,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,Raven Mclaughlin,barbaramcgrath@example.com,(422)539-5590x599,Respiratory Therapist,Respiratory Care,Travel Contract,MA,Active,2026-07-31,2026-03-29,2026-07-19,50.23,Active
