PROVIDER_ID,ORGANIZATION_ID,HOSPITAL_ID,HOSPITAL_NAME,NAME,SPECIALITY,GENDER
PRV000001,ORG0001,220062,ADCARE HOSPITAL OF WORCESTER INC,Ted955 Reilly981,GENERAL PRACTICE,M
PRV000002,ORG0002,220029,ANNA JAQUES HOSPITAL,Terence292 Brakus656,GENERAL PRACTICE,M
PRV000003,ORG0003,224013,ARBOUR HOSPITAL,Jaunita130 Armstrong51,GENERAL PRACTICE,F
PRV000004,ORG0004,224018,ARBOUR HUMAN RESOURCE INSTITUTE,Lindsay928 Ward668,GENERAL PRACTICE,M
PRV000005,ORG0005,224021,ARBOUR-FULLER HOSPITAL,Nereida276 Feeney44,GENERAL PRACTICE,F
PRV000006,ORG0006,221303,ATHOL MEMORIAL HOSPITAL,Jules135 Emard19,GENERAL PRACTICE,M
PRV000007,ORG0007,220016,BAYSTATE FRANKLIN MEDICAL CENTER,Gisele901 Lehner980,GENERAL PRACTICE,F
PRV000008,ORG0008,220077,BAYSTATE MEDICAL CENTER,Marcos263 Vargas494,GENERAL PRACTICE,M
PRV000009,ORG0009,220065,BAYSTATE NOBLE HOSPITAL,Milan77 Anderson154,GENERAL PRACTICE,M
PRV000010,ORG0010,220030,BAYSTATE WING HOSPITAL,Vella930 Ankunding277,GENERAL PRACTICE,F
PRV000011,ORG0011,22001F,BEDFORD VA MEDICAL CENTER,Bradley693 Runolfsson901,GENERAL PRACTICE,M
PRV000012,ORG0012,220046,BERKSHIRE MEDICAL CENTER,Donnell534 Mosciski958,GENERAL PRACTICE,M
PRV000013,ORG0013,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,Thad495 Leannon79,GENERAL PRACTICE,M
PRV000014,ORG0014,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Adolph80 Farrell962,GENERAL PRACTICE,M
PRV000015,ORG0015,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Riley817 Bartoletti50,GENERAL PRACTICE,M
PRV000016,ORG0016,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,Francene766 Kuhlman484,GENERAL PRACTICE,F
PRV000017,ORG0017,223302,BOSTON CHILDREN'S HOSPITAL,Daniel959 Ankunding277,GENERAL PRACTICE,M
PRV000018,ORG0018,220031,BOSTON MEDICAL CENTER,Isaiah615 Waters156,GENERAL PRACTICE,M
PRV000019,ORG0019,220036,BOSTON MEDICAL CENTER-BRIGHTON,Demetrius568 Moore224,GENERAL PRACTICE,M
PRV000020,ORG0020,224022,BOURNEWOOD HOSPITAL,Marchelle563 Hettinger594,GENERAL PRACTICE,F
PRV000021,ORG0021,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,Jolie499 Parisian75,GENERAL PRACTICE,F
PRV000022,ORG0022,220110,BRIGHAM AND WOMEN'S HOSPITAL,Johnson679 Pfeffer420,GENERAL PRACTICE,M
PRV000023,ORG0023,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,Angelic427 McCullough561,GENERAL PRACTICE,F
PRV000024,ORG0024,220011,CAMBRIDGE HEALTH ALLIANCE,Joe656 Jakubowski832,GENERAL PRACTICE,M
PRV000025,ORG0025,224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,Tyree261 Kutch271,GENERAL PRACTICE,M
PRV000026,ORG0026,220012,CAPE COD HOSPITAL,Randa356 Ritchie586,GENERAL PRACTICE,F
PRV000027,ORG0027,220017,CARNEY HOSPITAL,Troy560 Dooley940,GENERAL PRACTICE,F
PRV000028,ORG0028,220015,"COOLEY DICKINSON HOSPITAL INC,THE",Anthony633 Toy286,GENERAL PRACTICE,M
PRV000029,ORG0029,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,Gerardo48 Graham902,GENERAL PRACTICE,M
PRV000030,ORG0030,224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,Tracey100 Champlin946,GENERAL PRACTICE,F
PRV000031,ORG0031,220084,EMERSON HOSPITAL -,Connie24 Reichert620,GENERAL PRACTICE,F
PRV000032,ORG0032,221302,FAIRVIEW HOSPITAL,Maxima831 Fahey393,GENERAL PRACTICE,F
PRV000033,ORG0033,220135,FALMOUTH HOSPITAL,Leopoldo762 Moore224,GENERAL PRACTICE,M
PRV000034,ORG0034,223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,Lucas404 Klocko335,GENERAL PRACTICE,M
PRV000035,ORG0035,220111,GOOD SAMARITAN MEDICAL CENTER,Chance908 Bednar518,GENERAL PRACTICE,M
PRV000036,ORG0036,220095,HEYWOOD HOSPITAL -,Kim439 Friesen796,GENERAL PRACTICE,M
PRV000037,ORG0037,220080,HOLY FAMILY HOSPITAL,Jeremy766 Hudson301,GENERAL PRACTICE,M
PRV000038,ORG0038,220024,HOLYOKE MEDICAL CENTER,María Luisa888 Jiménez568,GENERAL PRACTICE,F
PRV000039,ORG0039,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,Kathrine376 Reinger292,GENERAL PRACTICE,F
PRV000040,ORG0040,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",Lou594 Fadel536,GENERAL PRACTICE,M
PRV000041,ORG0041,220063,LOWELL GENERAL HOSPITAL,Gracia333 Schuster709,GENERAL PRACTICE,F
PRV000042,ORG0042,221300,MARTHA'S VINEYARD HOSPITAL INC,Williams176 Kilback373,GENERAL PRACTICE,M
PRV000043,ORG0043,220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,Rudy520 Mosciski958,GENERAL PRACTICE,M
PRV000044,ORG0044,220071,MASSACHUSETTS GENERAL HOSPITAL,Hallie315 Auer97,GENERAL PRACTICE,F
PRV000045,ORG0045,224007,MCLEAN HOSPITAL CORPORATION,Carylon722 Corwin846,GENERAL PRACTICE,F
PRV000046,ORG0046,220070,MELROSEWAKEFIELD HEALTHCARE,Mickey576 Borer986,GENERAL PRACTICE,F
PRV000047,ORG0047,220066,MERCY MEDICAL CTR,Cristopher265 Heaney114,GENERAL PRACTICE,M
